base_id,base_name,location,budget,classification,domain,commander_id
406,ptapenden1l,Parys,2540820,5,small,20058
413,bhumes1m,Baume-les-Dames,3953489,4,small,20059
420,nlotte1n,Cagnes-sur-Mer,6958552,2,big,20060
427,tthursby1o,Syntul,806098,3,small,20061
434,tpickworth1p,Ocala,3173914,5,big,20062
441,apaoletto1q,Kopen,964993,1,middle,20063
448,mruthen1r,Gemena,3474131,4,big,20064
455,cnorquoy1s,Lamadelaine,6150245,5,small,20065
462,amateuszczyk1t,Malausma Kidul,1963059,5,small,20066
469,kgidden1u,Isehara,6094408,1,middle,20067
476,clefort1v,Mushie,9898826,5,middle,20068
483,dunwins1w,Cihaurbeuti,3262697,4,big,20069
490,bboner1x,Nekla,5224092,5,small,20070
497,aarr1y,Kočevje,1156239,5,middle,20071
504,cvickress1z,Camingawan,3868710,3,big,20072
511,cezzle20,Bellavista,5868416,2,big,20073
518,jpetrovykh21,Sietesz,144717,1,small,20074
525,crubury22,Lianglin,6636042,2,small,20075
532,nseller23,Hegarmanah,4732687,5,big,20076
539,rsandal24,Batken,6071309,3,big,20077
546,nbengochea25,Suzhou,3609804,2,middle,20078
553,ewebermann26,Rettikhovka,5189918,5,small,20079
560,oambrogi27,Sincelejo,4315764,1,middle,20080
567,uallonby28,Sulengwaseng,7125007,5,big,20081
574,ghudspeth29,Ḩarastā,1765081,2,small,20082
581,movise2a,Knysna,4182325,1,big,20083
588,jsimla2b,Zipaquirá,3377016,2,big,20084
595,ajenny2c,Juan Adrián,5576952,3,big,20085
602,dmcgibbon2d,Xiguantun Muguzu Manzuxiang,849422,3,middle,20086
609,kdavys2e,Namioka,5494781,1,small,20087
616,rdobrowolski2f,Malartic,2110077,4,small,20088
623,bhardman2g,Tamana,1180180,3,big,20089
630,hpostgate2h,Pokrovka,8683718,3,big,20090
637,frock2i,Ikot-Ekpene,2163671,3,small,20091
644,mswenson2j,Ad Dīs ash Sharqīyah,2823683,4,big,20092
651,wmourgue2k,Chanthaburi,8724468,4,big,20093
658,crimour2l,Corbeil-Essonnes,7403691,1,middle,20094
665,mdesmond2m,Port Maria,6275442,2,big,20095
672,dsantos2n,Wenquan,6248901,1,middle,20096
679,pbernhardt2o,Buri,3068502,5,small,20097
686,rborgars2p,Nipawin,8638101,5,middle,20098
693,scampsall2q,Oebobo,5299905,1,middle,20099
700,cbearsmore2r,Höshööt,6625612,4,big,20100
707,tbuckhurst2s,Cervantes,3717181,2,middle,20101
714,cbrymner2t,Biggar,3203718,1,big,20102
721,mforcer2u,Tānk,4961163,3,small,20103
728,agentle2v,Sojo,171094,3,small,20104
735,ctorrie2w,Puerto Morazán,7850204,4,small,20105
742,dterbrug2x,Lishan,8513583,5,small,20106
749,kcranefield2y,Baja Mar,3500793,2,small,20107
756,htorfin2z,Shejiang,2875408,5,middle,20108
763,cskerme30,Bahay Pare,2348352,2,big,20109
770,rhyland31,Leshukonskoye,4191415,4,middle,20110
777,glaugheran32,Gonghe,7716486,4,small,20111
784,jbruna33,Oropesa,1044077,2,small,20112
791,solensby34,Baganha,7335418,3,middle,20113
798,kmurton35,Besançon,3479539,1,middle,20114
805,mfilan36,Malati,4831601,5,middle,20115
812,eboothroyd37,Kedungbacin,3104201,4,middle,20116
819,rdrake38,Jiulong,2320659,2,small,20117
826,mnuccii39,Qozonketkan,3820472,5,big,20118
833,ccalifornia3a,Wushi,7160829,1,small,20119
840,ubecks3b,Kombissiri,3758110,2,small,20120
847,cjerosch3c,Kota Bharu,9071840,5,big,20121
854,ibartolommeo3d,Levashi,496219,5,middle,20122
861,dkingswood3e,Anyu,1022561,4,small,20123
868,cklesse3f,Fuzhuang,7635224,4,small,20124
875,pbickerstaff3g,Angers,1945929,5,big,20125
882,sstrelitzki3h,Melville,2109272,5,middle,20126
889,relijah3i,Machetá,4018202,4,middle,20127
896,lmingo3j,Neqāb,7588041,1,big,20128
903,aonowlan3k,Gävle,1074008,4,small,20129
910,jjostan3l,Soho,4705803,5,big,20130
917,hlivett3m,Dubovka,2778869,4,middle,20131
924,wawty3n,Jalatrang,282070,3,small,20132
931,tvedekhin3o,Las Vegas,3778682,3,big,20133
938,vbroomfield3p,Pop Shahri,8110756,2,small,20134
945,avideneev3q,‘Amrān,7320002,5,big,20135
952,eayshford3r,Khorosheve,982444,2,big,20136
959,mwallhead3s,Itaqui,5599633,3,small,20137
966,bmeni3t,Formosa,3829387,1,small,20138
973,cstyche3u,Orange,1600626,5,small,20139
980,flicas3v,Santa Rosa,2483539,5,middle,20140
987,lbohje3w,Santo António das Areias,3195753,3,small,20141
994,rbrumen3x,Norfolk,3878027,4,middle,20142
1001,afrostdick3y,Tymoshivka,7408560,3,small,20143
1008,smuxworthy3z,Alexandria,8706435,4,big,20144
1015,tpatient40,Timrat,1358006,3,middle,20145
1022,dpalfrie41,Sumy,207482,5,small,20146
1029,apomroy42,Zekou,5835846,1,big,20147
1036,kgudeman43,Xuetian,3882151,1,small,20148
1043,obrumby44,Hufeng,329356,2,middle,20149
1050,mlaxe45,Khon San,7952468,4,big,20150
1057,amannakee46,Xiongbei,687337,4,middle,20151
1064,fiwaszkiewicz47,København,4862287,5,big,20152
1071,lhinkley48,Fengxian,9126720,3,big,20153
1078,wcraighead49,Nagbukel,6633364,1,middle,20154
1085,rblamey4a,Christchurch,1857908,1,big,20155
1092,belkington4b,Vatutine,2472330,2,small,20156
1099,dhucks4c,Quixadá,2855140,2,big,20157
1106,lsquibbes4d,Yihe,2965917,5,small,20158
1113,kcasewell4e,Langgapayung,1653927,4,small,20159
1120,jhurleston4f,Vân Tùng,8125316,4,big,20160
1127,iconeybeer4g,Banjar Brahmanabukit,5986739,4,big,20161
1134,feronie4h,Lužani,235718,4,big,20162
1141,jbeecheno4i,Andongwei,296071,1,big,20163
1148,pokennedy4j,Ise,4241513,3,middle,20164
1155,ajindrich4k,‘Afak,3363539,3,middle,20165
1162,jyates4l,Sanlidian,7878428,2,small,20166
1169,thurford4m,Geoktschai,5649247,1,middle,20167
1176,mdunniom4n,Dongtian,9395550,2,big,20168
1183,jmottram4o,Ikryanoye,9778810,5,big,20169
1190,wpikhno4p,Psáry,1712369,4,small,20170
1197,aivanishchev4q,Várzea,4619775,4,big,20171
1204,bmcinnery4r,Wum,3447686,1,small,20172
1211,dshwenn4s,Yläne,2424928,4,middle,20173
1218,jreuben4t,La Oroya,7213460,5,middle,20174
1225,ngreenhowe4u,Gaotuan,4122312,1,middle,20175
1232,fgashion4v,Tirtopuro,7660090,5,big,20176
1239,gshekle4w,Birao,3475048,4,big,20177
1246,stweddell4x,Makur,8216367,4,middle,20178
1253,fsevery4y,Gizałki,9511509,3,middle,20179
1260,cadamolli4z,Barubandung,8631572,3,middle,20180
1267,lcausier50,Popasna,4238053,1,middle,20181
1274,dkemish51,Gayle,4504651,1,small,20182
1281,zframmingham52,Paris 19,4419607,4,small,20183
1288,bpawelek53,Zhvanets,3591257,3,big,20184
1295,dwaldren54,Miki,2108146,4,small,20185
1302,sstidworthy55,Vassouras,9265494,1,middle,20186
1309,mkettlewell56,Hongtang,7300523,4,big,20187
1316,gshrive57,Nova Granada,2839882,5,big,20188
1323,ogorry58,Langqi,4271631,1,middle,20189
1330,kmcartan59,Zaymishche,9862752,3,small,20190
1337,chenri5a,Ciyun,7882111,3,small,20191
1344,aeccleshall5b,Bayaguana,1307964,5,small,20192
1351,ggreeno5c,Brněnec,6624664,2,middle,20193
1358,ehafford5d,Chishtiān Mandi,2787881,2,small,20194
1365,jdecleen5e,Fenghuang,1692901,2,big,20195
1372,wfrowing5f,Xingtai,4747227,1,middle,20196
1379,fpatriche5g,Jiangjing,9045362,1,middle,20197
1386,iobrian5h,Kamuli,4347786,2,small,20198
1393,cpavkovic5i,Gaplokan,8483031,4,middle,20199
1400,cjurczik5j,Kristinehamn,5311922,3,big,20200
1407,jdietmar5k,Malibago,486048,1,middle,20201
1414,tsowthcote5l,Rizhao,8781474,3,small,20202
1421,syouens5m,Las Garcitas,1071356,5,big,20203
1428,mmcclancy5n,Hepu,6285993,1,small,20204
1435,trobben5o,Besah,5881129,2,small,20205
1442,agreenroad5p,Duas Igrejas,7322610,4,small,20206
1449,whalburton5q,Molodizhne,3104003,2,middle,20207
1456,norodane5r,Mata,5326614,1,small,20208
1463,twestfrimley5s,Ortigueira,2930709,1,middle,20209
1470,ckiffin5t,Kasonawejo,6388197,2,big,20210
1477,agecks5u,Sokol,8656594,5,small,20211
1484,hrowden5v,Estique,5066747,2,small,20212
1491,akitchener5w,Nahrīn,7224403,3,middle,20213
1498,rluther5x,Khandagayty,381185,3,middle,20214
1505,gwardhaugh5y,Anticala,930572,1,big,20215
1512,mjohnikin5z,Bibinje,9129913,5,small,20216
1519,kmecco60,Shuangqiao,3784236,2,middle,20217
1526,abools61,Petung,5571915,4,big,20218
1533,rpinner62,Nafada,1219278,2,middle,20219
1540,dheggs63,São João,7748446,3,small,20220
1547,enorgate64,Kildare,2788504,1,middle,20221
1554,kesgate65,Luohe,5038770,1,big,20222
1561,vcoppledike66,Agidel’,5152245,4,big,20223
1568,elattimer67,Obrenovac,7550499,3,big,20224
1575,ddewilde68,Turochak,5363173,5,big,20225
1582,jiwanicki69,Wuyun,9137489,4,middle,20226
1589,mhuebner6a,Krasnaya Poyma,7152651,3,middle,20227
1596,dbrazear6b,Al Nashmah,6099056,2,middle,20228
1603,rsetford6c,Karangmulya,7836288,2,small,20229
1610,wcarne6d,Ordóñez,6712500,4,big,20230
1617,linman6e,Xamtay,9735037,2,big,20231
1624,hfrears6f,Lysekil,1165143,2,big,20232
1631,nloalday6g,Vila Boa do Bispo,6835041,4,big,20233
1638,wdowngate6h,Uzhhorod,7869314,4,middle,20234
1645,gwethers6i,Guadalupe,8294402,5,big,20235
1652,vashman6j,Grahamstown,8900232,2,small,20236
1659,pfuggles6k,Shangdundu,6064274,2,middle,20237
1666,roganesian6l,Byera Village,844091,3,middle,20238
1673,bsouza6m,Novoaltaysk,2471030,4,small,20239
1680,zkenwrick6n,Serov,5763572,2,middle,20240
1687,ghoofe6o,Montenegro,8511248,3,big,20241
1694,pwhittick6p,Pruchnik,5215719,2,middle,20242
1701,ccoolson6q,Cantaura,101374,4,small,20243
1708,eblanch6r,Clearwater,8545128,3,middle,20244
1715,hziemens6s,Kudusan,4154197,4,small,20245
1722,ppeirpoint6t,Ostružnica,5790761,4,big,20246
1729,ahendrich6u,Novoshakhtinsk,1447350,2,small,20247
1736,ksherville6v,Talisayan,6066960,3,big,20248
1743,ifrancescuccio6w,Cipunglu,5048859,4,small,20249
1750,spepineaux6x,Jinshan,1635635,2,big,20250
1757,asendley6y,Corail,7772477,1,small,20251
1764,jmunnis6z,Puncakwangi,3294841,2,middle,20252
1771,eradborne70,Tambopata,7030440,2,big,20253
1778,lsutton71,Rognedino,1466074,1,big,20254
1785,fivory72,Köln,6911893,1,big,20255
1792,sbuttrick73,Bykivka,917028,2,middle,20256
1799,amateu74,Kyprínos,5740109,1,middle,20257
1806,pbilsborrow75,Pittsburgh,4048850,1,big,20258
1813,aduligal76,Marsabit,467680,5,big,20259
1820,tunitt77,Lindavista,1607391,2,middle,20260
1827,tbulstrode78,Oslo,2993545,2,big,20261
1834,ecredland79,Yutsa,2836309,4,small,20262
1841,wvigar7a,Putrajaya,9735650,2,big,20263
1848,ytwinbourne7b,Vapnyarka,1800758,2,middle,20264
1855,hmatys7c,Belogorsk,2953360,2,middle,20265
1862,afibbens7d,Helsingborg,1422316,1,small,20266
1869,ksaggs7e,Brescia,9483530,2,middle,20267
1876,wwaycott7f,Tiébo,6910129,1,middle,20268
1883,ekoene7g,Łanięta,4165910,4,middle,20269
1890,mthewless7h,Makale,9135581,5,middle,20270
1897,apurrington7i,West Kelowna,2089289,1,middle,20271
1904,mglamart7j,Road Town,5344238,5,small,20272
1911,lodriscoll7k,Sim,9448680,4,middle,20273
1918,jkiddye7l,Kawm Ḩamādah,1168055,1,middle,20274
1925,mscurman7m,Żabnica,3718018,1,small,20275
1932,mlevin7n,Zborište,2981505,5,small,20276
1939,gmacalees7o,San Calixto,8825928,2,middle,20277
1946,khavenhand7p,Fiditi,478220,4,middle,20278
1953,ciannuzzi7q,Kazo,573359,1,small,20279
1960,wpraundl7r,Putrajaya,552595,1,big,20280
1967,rticic7s,Saumur,9835559,3,big,20281
1974,bbryce7t,Lugovskoy,3771303,1,big,20282
1981,adommerque7u,Biloxi,5797496,2,middle,20283
1988,gtatum7v,Piskavica,261919,1,middle,20284
1995,dswayton7w,Cimuncang,6276151,4,small,20285
2002,eminihane7x,Huancarqui,3042269,2,middle,20286
2009,naslam7y,Ponggok,8468599,4,small,20287
2016,mwoodard7z,Armash,7571577,2,middle,20288
2023,gliccardo80,Cherepovets,919574,2,big,20289
2030,plawrence81,Ţāmiyah,3122845,3,small,20290
2037,lgiacoppo82,Wates,9021396,3,middle,20291
2044,fduell83,Jesús María,6981266,5,small,20292
2051,sbunce84,Anjō,5628604,2,middle,20293
2058,sgeffcock85,Qingzhou,4677167,4,small,20294
2065,rpedley86,Michałowice,7752086,4,big,20295
2072,sionnisian87,Pszczew,4387014,2,middle,20296
2079,pdowderswell88,Iwŏn-ŭp,5285301,2,small,20297
2086,gfarrears89,Migues,8698430,3,small,20298
2093,lcrapper8a,‘Eilabun,6564886,5,big,20299
2100,horpyne8b,Sheshory,3205318,5,big,20300
2107,bdollar8c,Ubon Ratchathani,4746349,3,small,20301
2114,adenial8d,Kristiansund N,6797863,2,big,20302
2121,gmilella8e,Banaba,3128786,2,small,20303
2128,fstrickett8f,Haugesund,1726633,2,big,20304
2135,opinson8g,Milanówek,1345939,2,big,20305
2142,frubi8h,Arlington,4153830,5,small,20306
2149,adurrell8i,Non Sung,6598060,5,middle,20307
2156,gmccool8j,Sepulu,4878846,5,big,20308
2163,bgreatbank8k,Beaumont,1233202,2,middle,20309
2170,heslie8l,Pāvilosta,8631731,2,middle,20310
2177,cevered8m,Xujiadian,8582838,2,small,20311
2184,rsebright8n,Hanfeng,7833380,1,middle,20312
2191,lenrietto8o,Uinskoye,6443911,3,middle,20313
2198,kmeron8p,Villeneuve-d'Ascq,8158802,3,middle,20314
2205,sscotland8q,Umeå,8032127,2,big,20315
2212,njustham8r,Horodok,8330372,5,big,20316
2219,gflipsen8s,Ban Phai,1604660,1,small,20317
2226,ritzkovsky8t,Mbalmayo,4857202,5,big,20318
2233,ahuetson8u,Ubonratana,7892850,2,big,20319
2240,jsouthorn8v,Amparo,7592112,1,middle,20320
2247,mfinn8w,Kerep Wetan,5543614,1,small,20321
2254,pillingworth8x,Nifuboko,8923491,4,big,20322
2261,kpurdom8y,Mikulintsy,1696887,5,big,20323
2268,bmallard8z,Xianlin,6908452,1,small,20324
2275,dferroni90,Nizhnyaya Tavda,1367729,1,small,20325
2282,hdreigher91,Longfengba,6537430,2,middle,20326
2289,rabrahamovitz92,Saharna,3277968,1,small,20327
2296,shaigh93,Pangian,9748833,3,small,20328
2303,rbarraclough94,Corpus Christi,9710127,3,small,20329
2310,kskoggins95,Simpang,4112899,2,middle,20330
2317,dleupoldt96,Slavkov u Brna,1709078,2,big,20331
2324,tvellender97,Kedungharjo,577259,5,small,20332
2331,fpigrome98,Makhalino,6214439,5,middle,20333
2338,sbraunds99,Victoria,1472680,2,small,20334
2345,swalhedd9a,Rancho Viejo,5489175,3,small,20335
2352,gdarell9b,Refojos de Riba de Ave,7656815,5,small,20336
2359,fbengtsen9c,Anserma,7239182,2,small,20337
2366,ksloyan9d,Asaka,4376810,1,middle,20338
2373,btottem9e,Krajan Gajahmati,2700127,1,big,20339
2380,rgrouer9f,Guinoaliuan,9844269,3,small,20340
2387,qarnoll9g,Chambéry,3824165,1,middle,20341
2394,mmart9h,Nobinobi,5644348,1,middle,20342
2401,townsworth9i,Gyamco,2651638,5,big,20343
2408,ckretschmer9j,Papetoai,1019007,3,middle,20344
2415,mdallman9k,Shancheng,2559862,5,middle,20345
2422,ehenriques9l,Khrenovoye,6810159,1,big,20346
2429,dmawford9m,Celendín,8885330,3,big,20347
2436,tstachini9n,Luxi,206284,2,big,20348
2443,wscorrer9o,Lansing,2020097,3,small,20349
2450,mlebretondelavieuville9p,Balas,4096490,4,middle,20350
2457,wleivesley9q,Jakartovice,7487004,4,small,20351
2464,btredgold9r,Tangerang,4161775,1,big,20352
2471,sgwynne9s,Aldeia de Juzo,925758,4,small,20353
2478,wgeddis9t,Ban Phaeo,4373655,2,small,20354
2485,mdarrach9u,Hošťka,9111806,4,middle,20355
2492,tanstee9v,Jilin,5079877,5,middle,20356
2499,atimmins9w,Viimsi,5626246,5,middle,20357
2506,mslayford9x,Zhajin,4251229,4,middle,20358
2513,jtrudgion9y,Point Hill,605249,5,middle,20359
2520,wbentick9z,Faqīrwāli,2858172,3,middle,20360
2527,csamplea0,Qorashina,9999429,2,big,20361
2534,cteresiaa1,Skhodnitsa,6272955,2,small,20362
2541,ltrewhitta2,Araguaína,8355835,1,middle,20363
2548,mwitza3,Heydərabad,6479151,3,middle,20364
2555,lpuddefoota4,Dresi Wetan,8402504,1,big,20365
2562,gbarwicka5,Gorshechnoye,3109217,1,big,20366
2569,volivia6,Lincheng,7936414,3,big,20367
2576,abringloea7,Olbramovice,7419016,3,middle,20368
2583,fhuygea8,Phú Thái,6632611,2,small,20369
2590,cplacidoa9,Fanhu,7923135,4,big,20370
2597,seaseyaa,Xiayunling,6182324,3,small,20371
2604,gbootab,Arinos,1929262,3,middle,20372
2611,charmstoneac,Chabu,5139578,5,small,20373
2618,mjoerningad,Taraš,9192810,3,big,20374
2625,fstonmanae,Xiachengzi,1181907,2,small,20375
2632,nfochaf,Myasnikyan,374829,4,big,20376
2639,dbennisonag,Garahaji,3846395,2,small,20377
2646,jkinvanah,Puncakwangi,5150946,3,middle,20378
2653,rungerechtsai,Gharavŭtí,4260786,1,middle,20379
2660,phallenaj,Tía Juana,8101170,3,middle,20380
2667,brameletak,Sidamukti,8845205,3,big,20381
2674,pbenettinial,Veiros,5465767,1,big,20382
2681,claisteram,Ninomiya,3979885,3,middle,20383
2688,etringhaman,Rechitsy,5617809,1,big,20384
2695,brennicksao,Yicheng,3462537,2,small,20385
2702,omonanap,Mukdahan,4384881,2,big,20386
2709,alorkingaq,Đông Thành,4191856,1,big,20387
2716,rtomlinsonar,Phước An,2888168,5,small,20388
2723,fhurllas,San Luis,5498047,3,big,20389
2730,aradwellat,Chelopech,846080,3,small,20390
2737,sbrunelliau,Ar Rawḑ,8855962,1,middle,20391
2744,mkayneav,Polevskoy,1822074,4,middle,20392
2751,anajaraaw,Uppsala,1048434,2,middle,20393
2758,jkestenax,São Joaquim,6393750,2,middle,20394
2765,kkochelay,Vabalninkas,9675246,2,middle,20395
2772,rmarnaneaz,As Salţ,2724961,1,middle,20396
2779,wledekerb0,Alcaldedíaz,6702888,1,big,20397
2786,mjephcottb1,Salingogan,7663572,3,middle,20398
2793,alecornub2,Zambujeira do Mar,812187,5,big,20399
2800,pdewburyb3,Huozhuangzi,3737704,5,big,20400
2807,aroadb4,Tall Rif‘at,7516367,2,middle,20401
2814,mtwinningb5,Replot,3169974,4,big,20402
2821,hseakb6,Zhongshanmen,3336219,3,middle,20403
2828,bisenorb7,Borovoy,4783915,4,middle,20404
2835,sgandleyb8,Nangka,4001686,1,small,20405
2842,aupfoldb9,Dĩ An,1406309,2,middle,20406
2849,cbirkheadba,Kolo,9605886,2,middle,20407
2856,mcarmobb,Guangdu,3778168,3,big,20408
2863,jdaensbc,Kailahun,7707222,2,small,20409
2870,cmacanellyebd,Teongtoda,124622,1,small,20410
2877,aodulchontabe,Khon Buri,7031306,5,small,20411
2884,emcconaghybf,Estela,7713488,4,big,20412
2891,swrettumbg,Jingyang,1384231,1,small,20413
2898,cdanseybh,Nianba,2635336,2,big,20414
2905,datheisbi,Langford,8288158,3,middle,20415
2912,bczajkabj,Dikirnis,9516324,1,middle,20416
2919,dblackwellbk,Kabar Utara,6471237,1,small,20417
2926,smcsperronbl,Sylhet,3618628,5,middle,20418
2933,dridderbm,Salerno,8676831,2,middle,20419
2940,ccheneybn,Betafo,6449281,5,small,20420
2947,easmanbo,Eschweiler,8692275,4,small,20421
2954,gstanesbp,Sonsorol Village,3405265,2,middle,20422
2961,ctomasianbq,Shengping,2463666,4,small,20423
2968,ldehmbr,Cisitu,2894275,3,small,20424
2975,tshererbs,Cihaur,2489212,2,big,20425
2982,chebardbt,Trinidad,7711349,1,middle,20426
2989,pokeevanbu,Yasnyy,7527626,3,small,20427
2996,tpachbv,Libušín,9382658,3,middle,20428
3003,jbritobw,Westport,9775381,4,small,20429
3010,rminocchibx,Dicun,7004392,2,big,20430
3017,aaisbettby,Västerås,2166021,4,big,20431
3024,fclemersonbz,Schroeder,6006140,4,big,20432
3031,aguarnierc0,Belene,4503158,3,big,20433
3038,bkloserc1,Longjin,3318681,4,small,20434
3045,wcessfordc2,Jadho,5303510,3,middle,20435
3052,tjollyec3,Bantarjati,307238,2,small,20436
3059,cfrankumc4,Ramat Gan,6255793,5,middle,20437
3066,wkillbyc5,Isidro Fabela,9523082,5,big,20438
3073,draundsc6,Richmond,7874160,2,small,20439
3080,agrimstonc7,San Francisco,9393066,4,small,20440
3087,mmalserc8,Siheyuan,2326518,2,big,20441
3094,dellyattc9,Thành Phố Uông Bí,1205064,3,middle,20442
3101,fortesca,Brest,4514830,1,big,20443
3108,jswinglehurstcb,Gora,3638785,5,big,20444
3115,ghinnerscc,Zuwārah,2390236,3,small,20445
3122,tduberycd,Pringu,3140473,2,middle,20446
3129,svaillantce,Tarakaniv,9770329,3,middle,20447
3136,kholmecf,Sacramento,7263697,3,small,20448
3143,glarrosacg,Mahdia,3941072,2,big,20449
3150,wpaviach,Derbent,3263179,3,middle,20450
3157,jminicoci,Couto,8007033,2,middle,20451
3164,gdalmeidacj,Saint-Péray,5868335,2,big,20452
3171,bharnellck,Bududa,3054630,2,middle,20453
3178,kwhatescl,Jun’an,6676364,3,small,20454
3185,dbrittocm,Katumba,8090546,5,small,20455
3192,rbarkshirecn,Protvino,4687852,4,middle,20456
3199,aborneco,Douane,1345481,2,small,20457
3206,cskerrittcp,Mandepa Barat,2924066,1,big,20458
3213,kstenyngcq,Shevchenkove,3035644,2,middle,20459
3220,dhewescr,Tuplice,3826056,4,big,20460
3227,bvaleriuscs,Allealle,3960329,5,small,20461
3234,awhitehallct,Berthierville,5932351,2,big,20462
3241,rcartlidgecu,Claremorris,7839555,4,big,20463
3248,lwoodyearecv,Qingxi,262922,1,big,20464
3255,hruzekcw,Dana,3484877,1,big,20465
3262,mfolkescx,El Soberbio,981832,4,big,20466
3269,dotycy,Águas de Lindóia,235962,5,middle,20467
3276,rmallabarcz,Santa Bárbara,2299369,3,small,20468
3283,limpeyd0,Goz Beïda,4103100,3,small,20469
3290,abinyond1,Candi,8933208,1,big,20470
3297,kjansond2,Sanshan,463973,1,small,20471
3304,slinkind3,Neftobod,1049626,5,middle,20472
3311,odunsired4,Bom Conselho,8787882,2,big,20473
3318,rriedeld5,Västerås,7198171,2,small,20474
3325,gputmand6,Laoshawan,1322211,4,small,20475
3332,tcaland7,Merritt,6217487,1,small,20476
3339,rgawthropd8,Oekefan,8624055,4,big,20477
3346,cblackaderd9,Campo Maior,6031711,5,small,20478
3353,egrubeyda,Okaya,7750218,1,big,20479
3360,bfochdb,Medenychi,5019721,2,small,20480
3367,eleipnikdc,Wuqiao,2839307,4,big,20481
3374,bmortlockdd,Alvand,5347109,2,middle,20482
3381,fartheyde,Bezons,846632,1,middle,20483
3388,lbeamissdf,Neya,9316438,3,big,20484
3395,bbarkworthdg,Igarra,2462847,3,big,20485
3402,kvearedh,Chodová Planá,8356488,5,middle,20486
3409,ccoursondi,Mt Peto,5969649,1,middle,20487
3416,ktofflerdj,Nglorogan,9573800,1,middle,20488
3423,lovereldk,Si Mahosot,4382934,2,small,20489
3430,gnorthilldl,Jincheng,8265889,2,small,20490
3437,wgosdendm,Sindangjati,889383,5,small,20491
3444,welgardn,Amparo,3574047,1,middle,20492
3451,lwhodcoatdo,Dongobesh,8721208,3,small,20493
3458,rbonhamdp,Patenongan,7186528,3,middle,20494
3465,beubankdq,Arroio do Meio,8011271,3,big,20495
3472,elabrenzdr,Dasht-e Lati,1607268,3,middle,20496
3479,cclellds,Notodden,232283,5,small,20497
3486,mflaubertdt,Jintan,7381559,4,middle,20498
3493,eubachdu,Stoczek,1631634,1,middle,20499
3500,tjellingsdv,Rajhradice,8344889,4,small,20500
3507,atizarddw,Vondrozo,1944141,2,big,20501
3514,vobrogandx,Viļaka,5093053,1,big,20502
3521,rmcveighdy,Montpellier,4230619,3,small,20503
